날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
1998-02-17,119,3.6,-3.3,11
1998-02-18,119,5.9,0.3,11
1998-02-19,119,9,4.3,13.8
1998-02-20,119,10.6,7.7,14.8
1998-02-21,119,5.3,1.9,9.3
1998-02-22,119,4.8,-1,12.2
1998-02-23,119,5.5,-0.3,12.8
1998-02-24,119,6.9,2.9,10.5
1998-02-25,119,7.4,3,15.6
1998-02-26,119,5.1,-0.4,12
1998-02-27,119,4.2,3,5.2
1998-02-28,119,4.6,1.4,9.4
1998-03-01,119,3.9,-1.5,11.3
1998-03-02,119,3.9,-2.4,11.5
1998-03-03,119,4.8,-1,11.6
1998-03-04,119,7.6,0.8,16
1998-03-05,119,8.4,1.3,15.6
1998-03-06,119,7.5,3.8,14.5
1998-03-07,119,7.2,0.9,15.2
1998-03-08,119,6.8,0.1,14.6
1998-03-09,119,9,1.7,16.7
1998-03-10,119,7.6,5.5,12.5
1998-03-11,119,5.3,3.6,7.4
1998-03-12,119,5.8,1.4,11.4
1998-03-13,119,7.5,0.5,15.6
1998-03-14,119,4,0.2,8.5
1998-03-15,119,2.5,-2,7.8
1998-03-16,119,4.4,-1.8,11
1998-03-17,119,6.2,-1,14.3
1998-03-18,119,9.9,0.8,17.2
1998-03-19,119,8.4,1.8,13.5
1998-03-20,119,0.2,-2.2,3.2
1998-03-21,119,1.4,-3.6,6.1
1998-03-22,119,1.6,-3.2,6.7
1998-03-23,119,4,-0.6,9.8
1998-03-24,119,5.9,-0.2,12.6
1998-03-25,119,8.6,4,14.8
1998-03-26,119,8.7,2.9,13.8
1998-03-27,119,8.2,4.6,12.6
1998-03-28,119,8.8,1.1,17
1998-03-29,119,11.7,3.5,20.2
1998-03-30,119,10.7,8,15.5
1998-03-31,119,11,4.8,17
1998-04-01,119,6.8,4.2,12.3
1998-04-02,119,6.5,3.5,11.2
1998-04-03,119,7,0.9,14
1998-04-04,119,10.1,1.1,18
1998-04-05,119,11.5,8.7,13.4
1998-04-06,119,17.4,10.8,23.5
