"행정구역","2018년_계_총인구수","2018년_계_연령구간인구수","2018년_계_0~9세","2018년_계_10~19세","2018년_계_20~29세","2018년_계_30~39세","2018년_계_40~49세","2018년_계_50~59세","2018년_계_60~69세","2018년_계_70~79세","2018년_계_80~89세","2018년_계_90~99세","2018년_계_100세 이상","2018년_남_총인구수","2018년_남_연령구간인구수","2018년_남_0~9세","2018년_남_10~19세","2018년_남_20~29세","2018년_남_30~39세","2018년_남_40~49세","2018년_남_50~59세","2018년_남_60~69세","2018년_남_70~79세","2018년_남_80~89세","2018년_남_90~99세","2018년_남_100세 이상","2018년_여_총인구수","2018년_여_연령구간인구수","2018년_여_0~9세","2018년_여_10~19세","2018년_여_20~29세","2018년_여_30~39세","2018년_여_40~49세","2018년_여_50~59세","2018년_여_60~69세","2018년_여_70~79세","2018년_여_80~89세","2018년_여_90~99세","2018년_여_100세 이상"
"경기도 화성시 (4159000000)","758,722","758,722","101,365","87,383","88,989","143,132","142,891","98,046","54,680","28,212","12,268","1,658","98","392,871","392,871","51,823","44,759","47,471","74,171","76,739","52,915","27,435","12,915","4,256","356","31","365,851","365,851","49,542","42,624","41,518","68,961","66,152","45,131","27,245","15,297","8,012","1,302","67"
"경기도 화성시 봉담읍(4159025300)","75,066","75,066","8,800","9,606","8,649","11,311","14,910","10,970","6,273","3,189","1,167","177","14","37,990","37,990","4,360","4,865","4,604","5,560","7,787","5,850","3,084","1,464","380","31","5","37,076","37,076","4,440","4,741","4,045","5,751","7,123","5,120","3,189","1,725","787","146","9"
"경기도 화성시 우정읍(4159025600)","17,875","17,875","1,157","1,548","1,987","1,919","2,949","3,406","2,450","1,545","804","104","6","9,642","9,642","601","769","1,204","1,113","1,768","1,900","1,258","722","279","25","3","8,233","8,233","556","779","783","806","1,181","1,506","1,192","823","525","79","3"
"경기도 화성시 향남읍(4159025900)","82,302","82,302","11,640","9,558","9,496","16,928","15,792","9,608","5,173","2,745","1,223","131","8","43,660","43,660","5,972","4,932","5,104","9,329","8,825","5,282","2,546","1,232","405","28","5","38,642","38,642","5,668","4,626","4,392","7,599","6,967","4,326","2,627","1,513","818","103","3"
"경기도 화성시 남양읍(4159026200)","37,495","37,495","4,134","3,335","5,025","6,714","6,063","5,904","3,586","1,760","845","126","3","20,304","20,304","2,116","1,752","2,925","3,820","3,457","3,200","1,879","821","315","19","0","17,191","17,191","2,018","1,583","2,100","2,894","2,606","2,704","1,707","939","530","107","3"
"경기도 화성시 매송면(4159031000)","7,682","7,682","481","534","938","809","1,121","1,552","1,160","723","321","41","2","4,030","4,030","244","281","539","450","644","836","594","313","114","14","1","3,652","3,652","237","253","399","359","477","716","566","410","207","27","1"
"경기도 화성시 비봉면(4159032000)","5,862","5,862","244","359","633","537","740","1,275","1,002","655","359","56","2","3,293","3,293","126","192","391","338","463","756","577","309","129","10","2","2,569","2,569","118","167","242","199","277","519","425","346","230","46","0"
"경기도 화성시 마도면(4159033000)","6,713","6,713","312","438","713","730","976","1,441","1,065","660","334","40","4","3,894","3,894","164","236","444","479","644","874","585","340","121","6","1","2,819","2,819","148","202","269","251","332","567","480","320","213","34","3"
"경기도 화성시 송산면(4159034000)","11,019","11,019","567","822","1,049","956","1,532","2,258","1,820","1,238","661","108","8","5,882","5,882","290","428","614","555","918","1,276","949","565","257","30","0","5,137","5,137","277","394","435","401","614","982","871","673","404","78","8"
"경기도 화성시 서신면(4159035000)","7,116","7,116","190","366","606","578","894","1,652","1,456","803","498","65","8","3,903","3,903","98","192","371","354","554","942","786","395","193","15","3","3,213","3,213","92","174","235","224","340","710","670","408","305","50","5"
